"region";"lon";"lat"
"Virginia";-78,4927721;37,1232245
"New Jersey";-74,4041622;40,0757384
"Germany";10,4478313;51,1638175
"Belgium";4,6667145;50,6402809
"Germany";10,4478313;51,1638175
"England";-1,2649062;52,5310214
"England";-1,2649062;52,5310214
"England";-1,2649062;52,5310214
"North Sea";2,81446727990478;56,0026997
"North Sea";2,81446727990478;56,0026997
"Off western Denmark";116,8280129;-34,9595334
"France";1,8883335;46,603354
"North Sea";2,81446727990478;56,0026997
"England";-1,2649062;52,5310214
"Ohio";-82,6881395;40,2253569
"English Channel";1,054682;50,4924668
"England";-1,2649062;52,5310214
"Germany";10,4478313;51,1638175
"Texas";-98,5456116;31,2638905
"Brazil";-53,2;-10,3333333
"California";-118,755997;36,7014631
"New Mexico";-105,993007;34,5708167
"Mexico";-102,0077097;23,6585116
"California";-118,755997;36,7014631
"Kansas";-98,5821872;38,27312
"New Jersey";-74,4041622;40,0757384
"France";1,8883335;46,603354
"Germany";10,4478313;51,1638175
"California";-118,755997;36,7014631
"Kansas";-98,5821872;38,27312
"California";-118,755997;36,7014631
"Pennsylvania";-77,7278831;40,9699889
"Burma";95,9999652;17,1750495
"Ohio";-82,6881395;40,2253569
"Illinois";-89,4337288;40,0796606
"California";-118,755997;36,7014631
"New Jersey";-74,4041622;40,0757384
"Washington";-77,0365427;38,8950368
"Illinois";-89,4337288;40,0796606
"Texas";-98,5456116;31,2638905
"Texas";-98,5456116;31,2638905
"California";-118,755997;36,7014631
"Belgium";4,6667145;50,6402809
"New Jersey";-74,4041622;40,0757384
"Indiana";-86,1746933;40,3270127
"Oregon";-120,737257;43,9792797
"USSR";68,7947829;38,5671241
"France";1,8883335;46,603354
"Utah";-111,714358;39,4225192
"England";-1,2649062;52,5310214
"California";-118,755997;36,7014631
"Missouri";-92,5617875;38,7604815
"Montana";-109,638757;47,3752671
"Missouri";-92,5617875;38,7604815
"Cuba";-80,8328748;23,0131338
"Syria";39,0494106;34,6401861
"Tennessee";-86,2820081;35,7730076
"Missouri";-92,5617875;38,7604815
"Michigan";-84,6824346;43,6211955
"Russia";97,7453061;64,6863136
"Colombia";-72,9088133;4,099917
"Mississippi";-89,7348497;32,9715285
"Texas";-98,5456116;31,2638905
"Wyoming";-107,568534;43,1700264
"Alaska";-149,680909;64,4459613
"California";-118,755997;36,7014631
"Wyoming";-107,568534;43,1700264
"Wyoming";-107,568534;43,1700264
"Texas";-98,5456116;31,2638905
"Egypt";29,2675469;26,2540493
"Arkansas";-92,4479108;35,2048883
"New York";-74,0060152;40,7127281
"Pennsylvania";-77,7278831;40,9699889
"Trinidad";-61,2613053887806;10,4430243
"France";1,8883335;46,603354
"Missouri";-92,5617875;38,7604815
"England";-1,2649062;52,5310214
"Utah";-111,714358;39,4225192
"Idaho";-114,015407;43,6447642
"Pennsylvania";-77,7278831;40,9699889
"California";-118,755997;36,7014631
"California";-118,755997;36,7014631
"California";-118,755997;36,7014631
"Australia";134,755;-24,7761086
"Pennsylvania";-77,7278831;40,9699889
"New Jersey";-74,4041622;40,0757384
"China";104,999927;35,000074
"Florida";-81,4639835;27,7567667
"Wyoming";-107,568534;43,1700264
"Italy";12,674297;42,6384261
"Czechoslovakia";121,0392436;14,480176
"Montana";-109,638757;47,3752671
"California";-118,755997;36,7014631
"California";-118,755997;36,7014631
"Brazil";-53,2;-10,3333333
"Ohio";-82,6881395;40,2253569
"Montana";-109,638757;47,3752671
"China";104,999927;35,000074
"Jersey";-2,1358386;49,2214561
"Amsterdam";4,8924534;52,3730796
"Canada";-107,991707;61,0666922
"California";-118,755997;36,7014631
"Montana";-109,638757;47,3752671
"Oklahoma";-97,2684063;34,9550817
"Ecuador";-79,3666965;-1,3397668
"Brazil";-53,2;-10,3333333
"Estonia";25,3319078;58,7523778
"Australia";134,755;-24,7761086
"Virginia";-78,4927721;37,1232245
"Utah";-111,714358;39,4225192
"Illinois";-89,4337288;40,0796606
"Missouri";-92,5617875;38,7604815
"Canada";-107,991707;61,0666922
"Georgia";-83,1137366;32,3293809
"Scotland";-4,1140518;56,7861112
"Scotland";-4,1140518;56,7861112
"Puerto Rico";-66,4858295;18,2247706
"Minnesota";-94,6113288;45,9896587
"Canada";-107,991707;61,0666922
"Nevada";-116,8537227;39,5158825
"China";104,999927;35,000074
"Australia";134,755;-24,7761086
"Utah";-111,714358;39,4225192
"Montana";-109,638757;47,3752671
"West Virginia";-80,8408415;38,4758406
"Scotland";-4,1140518;56,7861112
"Puerto Rico";-66,4858295;18,2247706
"Newfoundland";-56,6403111408207;49,12120935
"California";-118,755997;36,7014631
"Utah";-111,714358;39,4225192
"California";-118,755997;36,7014631
"Peru";-75,0458515;-6,8699697
"Washington";-77,0365427;38,8950368
"Portugal";-8,1353519;39,6621648
"Australia";134,755;-24,7761086
"North Carolina";-79,0392919;35,6729639
"Gibraltar";-5,3474761;36,1285933
"Kentucky";-85,1551411;37,5726028
"Romania";24,6859225;45,9852129
"Australia";134,755;-24,7761086
"Texas";-98,5456116;31,2638905
"North Carolina";-79,0392919;35,6729639
"India";78,6677428;22,3511148
"Tennessee";-86,2820081;35,7730076
"Georgia";-83,1137366;32,3293809
"Australia";134,755;-24,7761086
"Utah";-111,714358;39,4225192
"Tennessee";-86,2820081;35,7730076
"Alaska";-149,680909;64,4459613
"France";1,8883335;46,603354
"France";1,8883335;46,603354
"France";1,8883335;46,603354
"Scotland";-4,1140518;56,7861112
"Nebraska";-99,5873816;41,7370229
"Cuba";-80,8328748;23,0131338
"England";-1,2649062;52,5310214
"England";-1,2649062;52,5310214
"Scotland";-4,1140518;56,7861112
"Alaska";-149,680909;64,4459613
"France";1,8883335;46,603354
"England";-1,2649062;52,5310214
"California";-118,755997;36,7014631
"England";-1,2649062;52,5310214
"California";-118,755997;36,7014631
"English Channel";1,054682;50,4924668
"Trinidad";-61,2613053887806;10,4430243
"California";-118,755997;36,7014631
"Italy";12,674297;42,6384261
"England";-1,2649062;52,5310214
"California";-118,755997;36,7014631
"Virginia";-78,4927721;37,1232245
"West Virginia";-80,8408415;38,4758406
"Australia";134,755;-24,7761086
"Texas";-98,5456116;31,2638905
"Washington D.C.";-77,0365427;38,8950368
"New Guinea";142,087090522459;-5,52259305
"England";-1,2649062;52,5310214
"France";1,8883335;46,603354
"New Guinea";142,087090522459;-5,52259305
"Ivory Coast";-5,5679458;7,9897371
"England";-1,2649062;52,5310214
